"SKU","Product","Package ID","Category","Tags","Unit price (Inventory)","Batch","External package ID","Inventory date","Expiration date","Packaging date","Date of manufacture","Quantity (including allocated)","Current price","Price (Catalog)"
52036364,"Sola Edibles Sativa Gummies, Strawberry-1000mg",16341,Edibles,,38.89,16341,16341,2/4/2025,5/5/2025,2/4/2025,,2,38.89,38.89
71271993,"Sola Edibles Sativa Gummies, Blue Raspberry-1000mg",16342,Edibles,,38.89,16342,16342,2/4/2025,5/5/2025,2/4/2025,,1,38.89,38.89
46770848,"Sola Edibles Sativa Gummies, Citrus - 250mg",16338,Edibles,,18.51,16338,16338,2/4/2025,5/5/2025,2/4/2025,,3,18.51,18.51
40536168,"Sola Edibles Sativa Gummies, Grape- 3000mg",16343,Edibles,,92.59,16343,16343,2/4/2025,5/5/2025,2/4/2025,,1,92.59,92.59
55003845,"Sola Edibles Indica Gummies, Blueberry - 3000mg",16345,Edibles,,92.59,16345,16345,2/4/2025,5/5/2025,2/4/2025,,1,92.59,92.59
51568947,"MEDCo Gumeaze, Watermelon-50mg",16362,Edibles,,6.02,16362,16362,2/5/2025,8/4/2025,2/5/2025,,5,6.02,6.02
44558079,"MEDCo Gumeaze, Watermelon-100mg",16360,Edibles,,12.03,16360,16360,2/5/2025,8/4/2025,2/5/2025,,40,12.03,12.03
05833791,"MEDCo Gumeaze, Wild Berry-1000mg",16363,Edibles,,35.96,16363,16363,2/5/2025,8/4/2025,2/5/2025,,6,35.96,35.96
80328533,"MEDCo French Caramel, Peanut Butter - 50mg",16416,Edibles,,5.55,16416,16416,2/11/2025,4/12/2025,2/11/2025,,1,5.55,5.55
93552559,"MEDCo French Caramel, Strawberry Shortcake - 50mg",16417,Edibles,,5.55,16417,16417,2/11/2025,4/12/2025,2/11/2025,,1,5.55,5.55
FFF3CD,"MEDCo Lollipop, Grape-25mg",16261,Edibles,,3.7,16261,16261,1/22/2025,4/22/2025,1/22/2025,,6,3.7,3.7
07628576,"MEDCo Lollipop, Green Apple-25mg",16262,Edibles,,3.7,16262,16262,1/22/2025,4/22/2025,1/22/2025,,11,3.7,3.7
60149371,MEDCo Lollipop - Strawberries and Cream 25mg,16462,Edibles,,3.7,16462,16462,2/18/2025,5/19/2025,2/18/2025,,10,3.7,3.7
537F8B,MEDCo French Caramel - 50mg,16477,Edibles,,5.55,16477,16477,2/19/2025,4/20/2025,2/21/2025,,2,5.55,5.55
58076275,MEDCo French Caramel - 100mg,16504,Edibles,,9.25,16504,16504,2/24/2025,4/25/2025,2/25/2025,,8,9.25,9.25
93552559,"MEDCo French Caramel, Strawberry Shortcake - 50mg",16505,Edibles,,5.55,16505,16505,2/24/2025,4/25/2025,2/25/2025,,18,5.55,5.55
43941818,"Sola Edibles Indica Gummies, Mixed Berry - 500mg",16086,Edibles,,31.48,16086,16086,3/2/2025,3/30/2025,12/30/2024,,1,31.48,31.48
57440515,"MEDCo Gumeaze, Wild Berry-100mg",16184,Edibles,,12.03,16184,16184,1/14/2025,7/13/2025,1/14/2025,,16,12.03,12.03
57440488,"MEDCo Gumeaze, Blue Raspberry-100mg",16556,Edibles,,12.03,16556,16556,3/4/2025,8/31/2025,3/4/2025,,23,12.03,12.03
57440488,"MEDCo Gumeaze, Blue Raspberry-100mg",16556,Edibles,,12.03,16556,16556,3/4/2025,8/31/2025,3/4/2025,,13,12.03,12.03
537F8B,MEDCo French Caramel - 50mg,16557,Edibles,,5.55,16557,16557,3/4/2025,5/3/2025,3/6/2025,,1,5.55,5.55
73292198,"MEDCo French Caramel, Coffee - 50mg",16558,Edibles,,5.55,16558,16558,3/4/2025,5/3/2025,3/5/2025,,28,5.55,5.55
80328533,"MEDCo French Caramel, Peanut Butter - 50mg",16559,Edibles,,5.55,16559,16559,3/4/2025,5/3/2025,3/5/2025,,6,5.55,5.55
50296495,"MEDCo French Caramel, Peanut Butter and Jelly - 50mg",16560,Edibles,,5.55,16560,16560,3/4/2025,5/3/2025,3/5/2025,,69,5.55,5.55
80287183,"Sola Edibles Sativa Gummies, Berry - 250mg",16600,Edibles,,18.51,16600,16600,3/6/2025,6/4/2025,3/6/2025,,3,18.51,18.51
40536168,"Sola Edibles Sativa Gummies, Grape- 3000mg",16601,Edibles,,92.59,16601,16601,3/6/2025,6/4/2025,3/6/2025,,4,92.59,92.59
55003845,"Sola Edibles Indica Gummies, Blueberry - 3000mg",16604,Edibles,,92.59,16604,16604,3/6/2025,6/4/2025,3/6/2025,,4,92.59,92.59
08487360,"Sola Edibles Sativa Gummies, Tropical - 100mg",16602,Edibles,,12.03,16602,,3/6/2025,6/4/2025,3/6/2025,,3,12.03,12.03
47029210,"Sola Edibles Indica Gummies, Citrus - 100mg",16599,Edibles,,12.03,16599,,3/6/2025,6/4/2025,3/6/2025,,3,12.03,12.03
92137676,"MEDCo Lollipop, Blue Dream-25mg",16464,Edibles,,3.7,16464,16464,2/18/2025,5/19/2025,2/18/2025,,10,3.7,3.7
59281274,Cured Beef Ramen - 25mg,16608,Edibles,,5.55,16608,16608,3/7/2025,,3/7/2025,,3,5.55,5.55
03976464,Cured Chicken Ramen - 25mg,16609,Edibles,,5.55,16609,16609,3/7/2025,,3/7/2025,,2,5.55,5.55
79575489,Cured Ginger Bits -100mg,16610,Edibles,,12.03,16610,16610,3/7/2025,,3/7/2025,,3,12.03,12.03
83799035,"Cured Crunch Rope, Strawberry-1000mg",16613,Edibles,,37.96,16613,16613,3/7/2025,,3/7/2025,,5,37.96,37.96
64512229,Cured Cookies & Creme 6pk - 150mg,16611,Edibles,,15.74,16611,16611,3/7/2025,,3/7/2025,,5,15.74,15.74
94460737,Cured Galactic Brownie - 100mg,16612,Edibles,,12.03,16612,16612,3/7/2025,,3/7/2025,,8,12.03,12.03
