"SKU","Product","Package ID","Category","Tags","Batch","Expiration date","Packaging date"
57440488,"MEDCo Gumeaze, Blue Raspberry-100mg",16556,Edibles,,16556,8/31/2025,3/4/2025
537F8B,MEDCo French Caramel - 50mg,16557,Edibles,,16557,5/3/2025,3/6/2025
73292198,"MEDCo French Caramel, Coffee - 50mg",16558,Edibles,,16558,5/3/2025,3/5/2025
80328533,"MEDCo French Caramel, Peanut Butter - 50mg",16559,Edibles,,16559,5/3/2025,3/5/2025
50296495,"MEDCo French Caramel, Peanut Butter and Jelly - 50mg",16560,Edibles,,16560,5/3/2025,3/5/2025
80287183,"Sola Edibles Sativa Gummies, Berry - 250mg",16600,Edibles,,16600,6/4/2025,3/6/2025
40536168,"Sola Edibles Sativa Gummies, Grape- 3000mg",16601,Edibles,,16601,6/4/2025,3/6/2025
55003845,"Sola Edibles Indica Gummies, Blueberry - 3000mg",16604,Edibles,,16604,6/4/2025,3/6/2025
08487360,"Sola Edibles Sativa Gummies, Tropical - 100mg",16602,Edibles,,16602,6/4/2025,3/6/2025
47029210,"Sola Edibles Indica Gummies, Citrus - 100mg",16599,Edibles,,16599,6/4/2025,3/6/2025
92137676,"MEDCo Lollipop, Blue Dream-25mg",16464,Edibles,,16464,5/19/2025,2/18/2025
59281274,Cured Beef Ramen - 25mg,16608,Edibles,,16608,,3/7/2025
03976464,Cured Chicken Ramen - 25mg,16609,Edibles,,16609,,3/7/2025
79575489,Cured Ginger Bits -100mg,16610,Edibles,,16610,,3/7/2025
83799035,"Cured Crunch Rope, Strawberry-1000mg",16613,Edibles,,16613,,3/7/2025
64512229,Cured Cookies & Creme 6pk - 150mg,16611,Edibles,,16611,,3/7/2025
94460737,Cured Galactic Brownie - 100mg,16612,Edibles,,16612,,3/7/2025
58290487,"Kind Farms Confections, Caramel Macchiato-300mg",16614,Edibles,,16614,,3/7/2025
82977438,"Kind Farms Confections, Classic Milk-300mg",16615,Edibles,,16615,,3/7/2025
84795461,"Kind Farms Confections, Extra Dark -300mg",16616,Edibles,,16616,,3/7/2025
F44BAD,"Kind Farms Confections, Milk Toffee Crunch-300mg",16617,Edibles,,16617,,3/7/2025
82251539,"Kind Farms Confections, Peanut Butter Marshmallow-300mg",16618,Edibles,,16618,,3/7/2025
30779765,"Kind Farms Confections Pretzel Bag, Milk Chocolate-300mg",16619,Edibles,,16619,,3/7/2025
81353484,"Kind Farms Confections Pretzel Bag, Peanut Butter-300mg",16621,Edibles,,16621,,3/7/2025
82174181,"Kind Farms Confections, Wild Blueberry -300mg",16622,Edibles,,16622,,3/7/2025
537F8B,MEDCo French Caramel - 50mg,16636,Edibles,,16636,5/9/2025,3/12/2025
58076275,MEDCo French Caramel - 100mg,16637,Edibles,,16637,5/9/2025,3/11/2025
71298504,"MEDCo French Caramel, Chocolate - 50mg",16638,Edibles,,16638,5/9/2025,3/11/2025
64334266,"MEDCo Gumeaze, Blue Raspberry-1000mg",16549,Edibles,,16549,8/30/2025,3/3/2025
05314680,Baked Bliss Chocolate Bar- Dark Chocolate - 200mg,16653,Edibles,,16653,,3/17/2025
73766561,Baked Bliss Chocolate Bars - Candy Coated Chocolate- 200mg,16655,Edibles,,16655,,3/17/2025
27244755,Baked Bliss Chocolate Bars - Cookies & Caramel- 200mg,16658,Edibles,,16658,,3/17/2025
64720416,Baked Bliss Chocolate Bars - Milk Chocolate- 200mg,16657,Edibles,,16657,,3/17/2025
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",16659,Edibles,,16659,,3/17/2025
87617385,"MEDCo French Caramel, Green Apple - 50mg",16671,Edibles,,16671,5/17/2025,3/20/2025
80328533,"MEDCo French Caramel, Peanut Butter - 50mg",16672,Edibles,,16672,5/17/2025,3/20/2025
537F8B,MEDCo French Caramel - 50mg,16699,Edibles,,16699,5/24/2025,3/24/2025
71298504,"MEDCo French Caramel, Chocolate - 50mg",16700,Edibles,,16700,5/23/2025,3/27/2025
73292198,"MEDCo French Caramel, Coffee - 50mg",16701,Edibles,,16701,5/23/2025,3/27/2025
93552559,"MEDCo French Caramel, Strawberry Shortcake - 50mg",16702,Edibles,,16702,5/23/2025,3/27/2025
50789721,"MEDCo The Venture Bar, 100mg",16710,Edibles,,16710,6/23/2025,3/25/2025
A3AC48,"MEDCo, Space Krispy-100mg",16711,Edibles,,16711,6/23/2025,3/25/2025
